store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
c1e8e247-373e-41cb-a395-565103fd024a,0,0,5.99,3.04,3596.32,1265.43
4610c8f9-adb8-4100-910d-51a8f9615b32,0,0,5.99,3.03,3596.42,1265.15
403e48e1-cee6-4459-bed3-265f0b839533,0,0,3.0,0.0,1250.49,0
ae27e21e-35e8-4e85-8b79-5a0e0a6ec82d,0,0,5.99,3.04,3596.3,1265.87
9a3d91ab-e42a-4ae4-b9b3-a8511fdc7477,0,0,9.02,0.0,4861.58,0
5bbcb8d5-b46b-40d9-b7cf-8cbaed70e76e,0,0,5.99,3.04,3596.29,1265.92
2cdc301e-a8dd-411a-b870-78e8b5286fb9,0,0,9.02,0.0,4861.56,0
f69571d4-046c-4862-85d2-3dbf3e064b3e,0,0,10.99,0.99,4975.72,420.84
84233064-c786-423f-b19c-22137d103c16,0,0,9.03,0.0,4681.82,180.32
a7e73b18-6383-4cc0-90c1-1ae41fe725e2,0,0,5.99,0.0,3418.95,0
2a77eaed-c15e-4886-b8d3-69c9aa5fc9f5,0,0,5.99,0.0,3418.65,0
ae2483af-617e-484a-9f03-1bb4f8fca65e,0,0,5.99,3.04,3596.27,1265.92
9bd7eda7-0bfc-4565-9471-061f680f2847,0,0,5.99,3.04,3596.19,1265.94
4dca9a9f-f326-4f54-b504-e321481e9d41,0,0,1.99,0.0,419.09,0
7801d8ab-bcdd-4acf-ac1e-0304f90ae467,0,0,9.03,0.0,4861.6,0
48efb667-b873-4b86-b6f2-74a272b13cc4,0,0,0.0,0.0,0,0
cbbc8ff5-73f6-4499-bbe7-a379179ee5fc,0,0,5.99,3.04,3596.13,1265.95
5129ccfe-3440-4e98-a5c8-28afd6737a76,0,0,9.03,0.0,4861.69,0
